,stars
4857008,3
1548549,5
4987279,3
4904860,2
822535,1
347718,4
2598631,5
2348011,3
3084362,5
4206053,2
1081429,1
4516632,4
699059,3
849969,5
732892,4
3597473,5
265582,4
3188123,4
368938,5
863363,5
528910,5
3989739,5
1003821,5
3313592,4
2967458,4
1950708,5
2470614,5
4973334,5
814964,5
3141136,5
1872162,5
5171595,4
1618399,5
3722917,4
1774752,5
4949353,2
3587893,5
1670262,5
27183,5
1210591,4
2720136,5
3610364,5
905222,3
4662432,1
3578542,3
882555,5
1361014,1
3627895,3
3914172,1
5193648,1
3207269,5
324165,1
2286827,5
4334712,5
3228052,5
4152642,5
606173,3
4556260,5
3323306,5
191531,2
4198030,3
753202,5
3331424,5
4261262,3
2827294,5
679143,4
5247476,5
3213786,5
4277372,5
1971985,5
1389283,4
4521334,1
4525533,4
333621,5
3905045,4
4985852,5
2299798,1
2318558,5
2143601,3
321592,4
2500988,5
2883159,2
4801551,4
3064077,5
1261586,5
2460129,5
5040993,4
4293408,5
916116,1
5037656,3
2165810,3
141249,3
1723081,5
1820576,2
3020545,4
2079911,2
2034502,5
363613,1
3021702,4
3008178,5
2057848,5
3089862,5
5137933,1
3131050,5
4913203,5
2514609,5
1079353,5
521097,5
531405,5
1021572,5
212918,4
802386,2
4623254,5
4528894,1
4305023,3
4587761,5
626305,1
3049587,3
2171496,2
3309433,1
2738580,2
3289642,5
4758299,5
5210866,5
3256023,5
4567162,4
450918,3
2358549,5
4526108,4
1498108,5
1308547,5
4747147,5
2017620,5
2331918,5
3078784,5
4923283,5
4170622,3
1049265,5
3609160,4
4388740,1
2717100,4
3194663,5
1057797,2
5118669,5
4418764,2
606628,5
539985,5
3616452,5
3941553,4
3615247,4
2182947,5
3753060,4
2660965,4
178565,1
2257342,5
624007,5
5153652,5
3387977,5
242310,1
3297000,4
2888766,5
1499667,4
1957631,4
3278811,3
2398051,4
2789721,3
3584909,5
5185728,4
2688451,2
352428,4
5044551,5
4471244,5
1138015,5
3843538,3
1531837,3
3348093,4
2273360,4
5229156,4
5110194,1
1271038,1
1677197,5
2617400,5
1812200,3
4686575,5
2866147,5
2887097,4
2568840,5
630893,1
733233,5
65329,3
3156184,2
4975516,5
494212,5
462265,4
3060308,3
5151053,5
5153033,5
672289,5
2063185,5
5157039,5
5083854,1
1689284,5
4310047,2
2831695,4
62641,4
2206481,1
5108584,5
4418192,5
4078579,5
3706695,5
1257466,4
4683423,2
334789,5
7305,5
2598327,5
2776958,5
1009300,5
3825362,5
1815458,4
753842,5
4683217,4
4020135,4
3033096,4
2618740,4
1637372,5
4904854,1
2694345,5
1118073,1
982358,3
1659283,3
582999,5
2321273,4
279913,4
894823,5
4633575,2
2052533,1
387262,5
2514832,3
4158936,2
3977567,5
4267952,2
3021956,3
921843,5
1078272,5
5223840,5
4114971,4
4203991,3
2913380,4
3084947,4
2141685,5
1796577,5
2653525,5
4183679,1
2937430,3
2301724,4
2564352,5
3335380,2
3335944,4
2663449,3
2598879,5
1022690,5
4090737,5
4921499,4
4290760,4
241986,4
4417972,2
2061356,5
4408665,5
410475,4
2541503,5
1662050,5
4731532,5
1584194,5
4023741,5
800622,5
848596,5
478468,3
1095064,1
5246323,4
4203606,2
2550541,3
4921248,4
3718710,5
1395132,5
4717655,5
1974451,5
4823099,4
363718,5
2830982,4
2071007,5
12050,1
4264625,5
1524219,4
1626943,5
2549049,1
377227,3
2423361,5
2913485,4
2807942,2
304071,5
2673697,5
4569550,3
1309384,1
2710737,5
482141,1
5180214,1
4480949,4
4868915,5
1375688,4
4660687,5
1242238,5
1877763,2
3840011,4
1439849,5
3105836,5
3106938,5
319979,5
1397161,1
1360720,5
2265716,2
1942509,5
4360711,5
2155162,4
2080641,4
3188155,4
3616791,5
1223676,4
564520,5
646988,5
1795812,5
3412802,5
4664460,3
3257829,2
502006,4
4557977,4
5236152,3
1063669,5
2970608,4
139172,5
47684,5
1896772,1
3130157,2
1375925,5
2598147,5
91122,3
3659506,4
585535,2
831525,3
2344866,5
3654542,2
